1234 ____;5567 ____;8888 XXXX;;;;;
1234 ____;5567 O___;8868 OO__;6686 XXXX;;;;
1234 ____;5567 O___;8868 X___;7778 XXXX;;;;
1234 ____;5567 O___;8868 XO__;7788 XXXX;;;;
1234 ____;5567 O___;8868 XOO_;1618 OO__;6886 XXXX;;;
1234 ____;5567 O___;8868 XOO_;1618 XO__;8686 XXXX;;;
1234 ____;5567 O___;8868 XOO_;1618 XX__;6688 XXXX;;;
1234 ____;5567 O___;8868 XX__;7878 XXOO;8778 XXXX;;;
1234 ____;5567 O___;8868 XX__;7878 XXXX;;;;
1234 ____;5567 O___;8868 XXO_;7888 XXO_;8885 XXXX;;;
1234 ____;5567 O___;8868 XXO_;7888 XXOO;8788 XXXX;;;
1234 ____;5567 O___;8868 XXO_;7888 XXXX;;;;
1234 ____;5567 O___;8868 XXOO;1618 OO__;8886 XXXX;;;
1234 ____;5567 O___;8868 XXOO;1618 XO__;6888 XXXX;;;
1234 ____;5567 O___;8868 XXOO;1618 XX__;8688 XXXX;;;
1234 ____;5567 O___;8868 XXX_;8858 XXX_;8878 XXXX;;;
1234 ____;5567 O___;8868 XXX_;8858 XXXX;;;;
1234 ____;5567 OO__;8856 O___;7775 XXXX;;;;
1234 ____;5567 OO__;8856 OO__;6778 XOO_;7785 XXXX;;;
1234 ____;5567 OO__;8856 OO__;6778 XXOO;7678 XXXX;;;
1234 ____;5567 OO__;8856 OO__;6778 XXX_;6678 XXXX;;;
1234 ____;5567 OO__;8856 OO__;6778 XXXX;;;;
1234 ____;5567 OO__;8856 OOO_;6788 XX__;6685 XXXX;;;
1234 ____;5567 OO__;8856 OOO_;6788 XXOO;7688 XXXX;;;
1234 ____;5567 OO__;8856 OOO_;6788 XXXX;;;;
1234 ____;5567 OO__;8856 X___;1666 X___;7776 XXXX;;;
1234 ____;5567 OO__;8856 X___;1666 XO__;6776 XXXX;;;
1234 ____;5567 OO__;8856 X___;1666 XX__;7676 XXXX;;;
1234 ____;5567 OO__;8856 X___;1666 XXO_;6676 XXXX;;;
1234 ____;5567 OO__;8856 XO__;7875 OO__;6786 XXXX;;;
1234 ____;5567 OO__;8856 XO__;7875 XO__;7686 XXXX;;;
1234 ____;5567 OO__;8856 XO__;7875 XOO_;7786 XXXX;;;
1234 ____;5567 OO__;8856 XO__;7875 XOOO;7758 XXXX;;;
1234 ____;5567 OO__;8856 XO__;7875 XXOO;8775 XXXX;;;
