2323 OOOO;3232 XXXX;;;;;;;;
3344 OOOO;4433 XXXX;;;;;;;;
4554 OOOO;5445 XXXX;;;;;;;;
2311 OOOO;1132 XXOO;1123 XXXX;;;;;;;
2535 OOOO;5352 XXOO;5253 XXXX;;;;;;;
3224 OOOO;2432 XXOO;2342 XXXX;;;;;;;
6346 OOOO;4663 XXOO;3664 XXXX;;;;;;;
2311 XOOO;3112 XOOO;1213 XXXX;;;;;;;
2535 XOOO;5325 OOOO;3552 XXXX;;;;;;;
3224 XOOO;4322 OOOO;2243 XXXX;;;;;;;
4554 XXOO;4545 OOOO;5454 XXXX;;;;;;;
6346 XOOO;3466 XOOO;4636 XXXX;;;;;;;
6645 XOOO;5664 XOOO;4656 XXXX;;;;;;;
2311 XXOO;1312 XXOO;1321 XXXX;;;;;;;
3224 XXOO;2324 OOOO;3242 XXXX;;;;;;;
6346 XXOO;6643 OOOO;4366 XXXX;;;;;;;
6645 XXOO;6546 OOOO;4665 XXXX;;;;;;;
6543 XXOO;3546 OOOO;6453 XXXX;;;;;;;
2323 OOO_;3235 XXOO;3532 XXXX;;;;;;;
2311 XXX_;2313 XXOO;2331 XXXX;;;;;;;
3224 XXX_;3524 XXOO;3254 XXXX;;;;;;;
3344 XXX_;3314 XXOO;3341 XXXX;;;;;;;
4554 XXX_;4553 XXOO;3554 XXXX;;;;;;;
3344 XOO_;2443 OOOO;4234 XXXX;;;;;;;
4554 XOO_;2455 OOOO;5542 XXXX;;;;;;;
2311 XXO_;1341 XXOO;1314 XXXX;;;;;;;
2535 XXO_;2315 XOOO;1235 XXXX;;;;;;;
3224 XXO_;3423 XXOO;3243 XXXX;;;;;;;
6645 XXO_;6543 XXOO;5643 XXXX;;;;;;;
2311 OOO_;1223 XXOO;1232 XXXX;;;;;;;
2535 OOO_;5351 XXOO;5153 XXXX;;;;;;;
3224 ____;1511 ____;6666 XXXX;;;;;;;
6346 ____;1211 ____;5555 XXXX;;;;;;;
2535 XOO_;5512 OOOO;1255 XXXX;;;;;;;
3224 XOO_;4423 OOOO;2344 XXXX;;;;;;;
2323 OO__;1231 OOOO;3112 XXXX;;;;;;;
6543 XX__;6511 OO__;1143 XXXX;;;;;;;
2311 XX__;6331 XOOO;3316 XXXX;;;;;;;
2535 XX__;1135 OOO_;2511 XXXX;;;;;;;
3224 XX__;1221 OO__;3114 XXXX;;;;;;;
6346 XX__;3336 XXOO;6333 XXXX;;;;;;;
6645 XX__;6535 XOOO;3655 XXXX;;;;;;;
2323 XX__;4353 XXOO;5343 XXXX;;;;;;;
6543 XOO_;3565 XXOO;3556 XXXX;;;;;;;
2323 XO__;6263 XXOO;6362 XXXX;;;;;;;
4554 XO__;5252 OOOO;2525 XXXX;;;;;;;
2535 OO__;4453 OOOO;5344 XXXX;;;;;;;
2535 XO__;2254 XOOO;4225 XXXX;;;;;;;
3224 XO__;4245 OOOO;2454 XXXX;;;;;;;
6346 XO__;5641 XXOO;1645 XXXX;;;;;;;
6645 XO__;5344 OOOO;4435 XXXX;;;;;;;
6543 XO__;6114 OOOO;1641 XXXX;;;;;;;
2323 X___;4113 OOOO;1341 XXXX;;;;;;;
4554 O___;6615 OOOO;5166 XXXX;;;;;;;
4554 X___;3324 OOOO;4233 XXXX;;;;;;;
3224 O___;2155 XOOO;1552 XXXX;;;;;;;
6346 O___;2425 OOOO;4252 XXXX;;;;;;;
2323 XXOO;3223 XXOO;3322 OOOO;2233 XXXX;;;;;;
4554 XXOO;4545 XXOO;5544 OOOO;4455 XXXX;;;;;;
2311 XXOO;1321 XOOO;3211 XOOO;2131 XXXX;;;;;;
3224 XXOO;2234 XOOO;3242 XOOO;4223 XXXX;;;;;;
6346 XXOO;6643 XOOO;6436 XOOO;6364 XXXX;;;;;;
6543 ____;2211 XX__;1111 ____;2222 XXXX;;;;;;
6346 XXX_;6446 XXO_;6344 XXOO;4346 XXXX;;;;;;
6543 XXX_;6544 XXO_;4543 XXO_;6443 XXXX;;;;;;
2323 XXO_;2362 XXOO;6322 OOOO;2263 XXXX;;;;;;
2535 XXO_;5531 OOO_;2315 XXO_;2155 XXXX;;;;;;
6645 XXO_;5643 XXO_;6653 XOO_;3646 XXXX;;;;;;
2311 OOO_;3142 XXOO;4132 XOOO;3124 XXXX;;;;;;
2535 OOO_;5326 OOOO;6253 XOOO;3652 XXXX;;;;;;
3224 OOO_;1432 OOOO;2143 XXOO;2341 XXXX;;;;;;
6645 OOO_;4561 XOOO;4156 XOOO;5164 XXXX;;;;;;
6543 XXO_;6423 OOO_;3542 XXO_;2546 XXXX;;;;;;
2311 ____;4654 OOOO;6445 XXOO;5446 XXXX;;;;;;
6346 ____;5512 X___;1111 ____;2222 XXXX;;;;;;
2311 XOO_;1251 XXOO;1521 XOOO;1215 XXXX;;;;;;
2535 XOO_;1255 XXOO;1552 OOOO;5215 XXXX;;;;;;
6346 XOO_;6234 XXOO;4236 XOOO;6432 XXXX;;;;;;
6645 XOO_;6554 XOOO;5546 XOOO;4565 XXXX;;;;;;
2323 OO__;3214 OOOO;1432 XXOO;4132 XXXX;;;;;;
3344 OO__;5233 OO__;4425 XXOO;4452 XXXX;;;;;;
4554 OO__;3245 XOOO;5342 OOOO;2435 XXXX;;;;;;
6543 XX__;6551 XOO_;1545 XOO_;5513 XXXX;;;;;;
2311 XX__;2415 XXOO;2451 XOOO;2514 XXXX;;;;;;
2535 XX__;2134 OO__;4515 XXOO;1545 XXXX;;;;;;
6346 XX__;4342 XOO_;6244 XOOO;2446 XXXX;;;;;;
6645 XX__;6535 XXOO;6355 XOOO;5635 XXXX;;;;;;
6543 X___;3233 XXOO;2333 XXOO;3323 XXXX;;;;;;
2323 XX__;1423 XOOO;4321 OOOO;2143 XXXX;;;;;;
3344 XX__;5341 XOOO;1354 OOOO;3145 XXXX;;;;;;
4554 XX__;3354 XXOO;4353 OOOO;3534 XXXX;;;;;;
6543 XOO_;1345 XXOO;5341 XOOO;3145 XXXX;;;;;;
2311 X___;6451 ____;3333 ____;2222 XXXX;;;;;;
2535 X___;6514 ____;2222 ____;3333 XXXX;;;;;;
3224 X___;4614 XOOO;6144 XOOO;1464 XXXX;;;;;;
6346 X___;1245 XOOO;2541 XOOO;5142 XXXX;;;;;;
6645 X___;3342 OOO_;6233 XXOO;2633 XXXX;;;;;;
2323 XO__;5263 XXOO;5362 OOOO;6253 XXXX;;;;;;
3344 XO__;4114 XXOO;1414 OOOO;4141 XXXX;;;;;;
3224 OO__;4162 OOOO;2641 XOOO;2416 XXXX;;;;;;
6346 OO__;2234 XOOO;2423 XXOO;4223 XXXX;;;;;;
6645 OO__;3453 XOOO;4533 XXOO;3534 XXXX;;;;;;
2535 XO__;4455 XXOO;5445 OOOO;4554 XXXX;;;;;;
3224 XO__;2215 OOOO;5122 XXOO;1522 XXXX;;;;;;
6645 XO__;4325 XXOO;3425 XOOO;4235 XXXX;;;;;;
6543 XO__;6152 XOOO;6215 OOOO;1562 XXXX;;;;;;
2323 X___;5626 XOOO;2566 XXOO;2665 XXXX;;;;;;
2535 O___;3113 OOO_;1341 XXX_;1361 XXXX;;;;;;
6346 O___;1513 OOOO;3151 XXOO;5131 XXXX;;;;;;
6543 OO__;4332 XXOO;2334 XOOO;3432 XXXX;;;;;;
6346 XXX_;6356 XXO_;6345 XXOO;5346 XXXX;;;;;;
6645 XXO_;6651 XXO_;5641 XOO_;6614 XXXX;;;;;;
2311 OOO_;3125 XOOO;1523 OOOO;5132 XXXX;;;;;;
3224 OOO_;2345 XXOO;2435 OOOO;5342 XXXX;;;;;;
6346 OOO_;3654 XXOO;4653 OOOO;3564 XXXX;;;;;;
6543 XXO_;2546 XXO_;2643 XOO_;3542 XXXX;;;;;;
3224 XOO_;2236 XXOO;6232 XOOO;2263 XXXX;;;;;;
4554 OO__;5146 XXOO;5416 XOOO;5641 XXXX;;;;;;
6543 X___;4441 XOO_;1244 XXX_;1144 XXXX;;;;;;
3344 XX__;3124 XXOO;3142 OOOO;1324 XXXX;;;;;;
6543 O___;2124 XOOO;4221 OOOO;2412 XXXX;;;;;;
6346 X___;6512 OOOO;1256 XOOO;5126 XXXX;;;;;;
2323 XO__;3653 XXOO;3356 XOOO;3563 XXXX;;;;;;
4554 XO__;3644 XXOO;3464 OOOO;4643 XXXX;;;;;;
2311 OO__;1662 XXOO;1266 XOOO;6162 XXXX;;;;;;
3224 OO__;6532 OOOO;2365 XOOO;2653 XXXX;;;;;;
6645 OO__;4361 XOOO;1463 OOOO;4136 XXXX;;;;;;
6543 XO__;6214 OOOO;1642 XXOO;2641 XXXX;;;;;;
2323 O___;3441 XXOO;4431 OOOO;3144 XXXX;;;;;;
2323 X___;4613 OOOO;6341 XXOO;1346 XXXX;;;;;;
3344 O___;6553 XXOO;5653 OOOO;6535 XXXX;;;;;;
4554 X___;1651 XXOO;6151 XOOO;1561 XXXX;;;;;;
