7171 OOOO;1717 XXXX;;;;;;;;
1177 OOOO;7711 XXXX;;;;;;;;
8348 XXOO;8843 OOOO;4388 XXXX;;;;;;;
2377 OOOO;7723 XXOO;7732 XXXX;;;;;;;
8348 ____;1216 OOOO;6121 XXOO;2161 XXXX;;;;;;
7654 ____;8138 XXOO;8831 OOOO;3188 XXXX;;;;;;
7171 ____;4433 OOOO;3344 XXXX;;;;;;;
2377 ____;4645 XXOO;6445 OOOO;4654 XXXX;;;;;;
2377 XXOO;2773 XXOO;2737 XXXX;;;;;;;
1177 ____;5252 OOOO;2525 XXXX;;;;;;;
7171 ____;5665 ____;2238 OOOO;8322 XXOO;3822 XXXX;;;;;
1177 ____;6464 ____;3822 XXOO;2823 OOOO;3282 XXXX;;;;;
8348 ____;5265 XXOO;5562 XXOO;2565 XXXX;;;;;;
2377 ____;1681 XXOO;1186 XXOO;6181 XXXX;;;;;;
8348 XOOO;8834 OOOO;3488 XXXX;;;;;;;
7171 ____;5454 ____;2826 XXOO;2286 XXOO;8226 XXXX;;;;;
1177 ____;8668 ____;3522 XXOO;2532 XXOO;2523 XXXX;;;;;
8348 ____;5677 XOOO;6775 OOOO;7567 XXXX;;;;;;
7654 ____;2283 XOOO;2328 OOOO;8232 XXXX;;;;;;
2377 ____;8846 XOOO;6884 OOOO;8468 XXXX;;;;;;
7171 ____;8844 ____;3566 XOOO;6356 OOOO;5663 XXXX;;;;;
1177 ____;4884 ____;6365 XOOO;6536 OOOO;5663 XXXX;;;;;
8348 ____;7166 ____;2322 ____;5555 XXXX;;;;;;
8348 XX__;2468 OOOO;8642 XXOO;8246 XXXX;;;;;;
8348 XOOO;4838 XXOO;8834 XXXX;;;;;;;
7171 ____;6446 ____;5883 ____;2222 XXXX;;;;;;
2377 ____;5415 XOOO;5154 XXOO;4155 XXXX;;;;;;
2377 XX__;3687 OOOO;8376 XXOO;6378 XXXX;;;;;;
1177 ____;5566 ____;8438 XOOO;4388 XXOO;8384 XXXX;;;;;
7171 ____;6556 ____;2883 XXOO;2838 XOOO;8823 XOOO;3882 XXXX;;;;
1177 ____;3663 ____;8528 XXOO;5828 XOOO;2588 XOOO;8258 XXXX;;;;
8348 ____;2776 X___;5212 OOOO;2521 XXOO;2125 XXXX;;;;;
2377 ____;8854 X___;4641 OOOO;6414 XXOO;1464 XXXX;;;;;
7654 XX__;4152 ____;8876 OOOO;7688 XXXX;;;;;;
7654 OOOO;4465 XXO_;6475 OOOO;4567 XXXX;;;;;;
7171 X___;6241 OOOO;2164 XXOO;4162 XXXX;;;;;;
2377 XXOO;2737 XOOO;3277 XOOO;7327 XXXX;;;;;;
1177 X___;1428 OOOO;8142 XXOO;4182 XXXX;;;;;;
7171 ____;2244 X___;5548 ____;3236 XXOO;6233 XXOO;3263 XXXX;;;;
7171 ____;6556 ____;8232 XOOO;3228 XOOO;2283 XXXX;;;;;
1177 ____;2266 XX__;6234 OOOO;2463 XOOO;2346 XXXX;;;;;
8348 ____;1517 XOOO;1175 XOOO;1751 XXXX;;;;;;
7654 ____;3328 X___;2211 OOOO;1122 XXXX;;;;;;
7171 ____;6226 XX__;2245 XXOO;4225 XXXX;;;;;;
7171 XXO_;7147 XXOO;7741 OOOO;4177 XXXX;;;;;;
2377 ____;6564 XX__;4854 XXOO;4584 XXXX;;;;;;
1177 XXO_;1727 XXOO;7127 OOOO;1772 XXXX;;;;;;
8348 ____;7257 XX__;2215 ____;6468 ____;7777 XXXX;;;;;
7171 ____;3223 ____;4458 X___;8666 XXOO;6668 XXXX;;;;;
1177 ____;5566 XOO_;6554 XXOO;6545 OOOO;5654 XXXX;;;;;
7171 ____;4334 X___;4558 ____;2236 XXOO;2632 XOOO;2326 XXXX;;;;
8348 ____;1516 X___;5275 XOOO;7525 XXOO;5527 XXXX;;;;;
7654 ____;1883 X___;2122 XXOO;1222 XXXX;;;;;;
7654 X___;8338 ____;2162 XXOO;2612 XXXX;;;;;;
7654 XX__;3627 XXOO;7623 XXXX;;;;;;;
7654 XXOO;6556 XX__;7456 XOOO;6754 XXXX;;;;;;
7654 OOOO;4465 XXX_;4765 XXXX;;;;;;;
7171 ____;8866 ____;5425 XOO_;5242 OOOO;2524 XXXX;;;;;
7171 X___;4675 OOOO;7564 XOOO;7456 XXXX;;;;;;
7171 XX__;4118 XXOO;4181 XXXX;;;;;;;
2377 ____;1415 X___;6881 ____;4444 ____;5555 XXXX;;;;;
2377 XX__;7857 XXOO;5877 XXXX;;;;;;;
2377 XOOO;7273 XOOO;3772 XXXX;;;;;;;
1177 ____;4466 XX__;6568 XX__;4682 OOOO;2468 XXXX;;;;;
1177 X___;8475 OOOO;5847 XOOO;4587 XXXX;;;;;;
7171 ____;5252 ____;4668 OOO_;8436 XOOO;6483 OOOO;3846 XXXX;;;;
7654 X___;1331 ____;4228 XX__;8287 OOOO;7828 XXXX;;;;;
7171 ____;4466 ____;8382 XOO_;2283 XXOO;8223 XXXX;;;;;
1177 ____;4433 XX__;4854 X___;2643 OOOO;4236 XXXX;;;;;
1177 XX__;1816 XX__;3478 ____;1211 XXOO;1112 XXXX;;;;;
8348 ____;7157 XOO_;7511 OOOO;1175 XXXX;;;;;;
8348 XXO_;5438 OOOO;8543 XOOO;8354 XXXX;;;;;;
7654 ____;3122 X___;8328 ____;1111 XXXX;;;;;;
7654 OOOO;6447 XXO_;5467 XOOO;6475 XXXX;;;;;;
7171 ____;6363 XXOO;3364 XXO_;3663 XXXX;;;;;;
2377 ____;8141 X___;5688 ____;4444 XXXX;;;;;;
1177 ____;4545 XOO_;5465 OOOO;6554 XXXX;;;;;;
8348 ____;7656 X___;1772 X___;5255 ____;1116 XXOO;1611 XXXX;;;;
2377 ____;4548 X___;1466 X___;1181 ____;5565 XXOO;5556 XXXX;;;;
1177 ____;8448 ____;6652 X___;3635 X___;3222 XXOO;2232 XXXX;;;;
8348 ____;5256 ____;1112 XX__;5713 XX__;1717 XXXX;;;;;
8348 X___;2386 X___;3731 ____;6465 OOOO;5646 XXXX;;;;;
8348 XXX_;3248 XXOO;2348 XXXX;;;;;;;
7654 ____;8133 X___;2288 XX__;2232 XXOO;2223 XXXX;;;;;
7654 X___;1133 ____;5828 XX__;2278 XXOO;7228 XXXX;;;;;
7654 XX__;7482 ____;3131 ____;5856 XX__;6656 XXXX;;;;;
7171 ____;2266 XX__;6836 ____;4452 XX__;2252 XXXX;;;;;
2377 ____;1455 XX__;6441 XX__;7865 ____;1411 XXXX;;;;;
2377 XX__;1247 X___;8533 ____;7676 XXOO;6677 XXXX;;;;;
2377 XXX_;2237 XXOO;2327 XXXX;;;;;;;
1177 ____;3344 X___;3288 X___;2524 OOOO;5242 XXXX;;;;;
1177 X___;3547 ____;1252 XX__;1266 XXOO;1662 XXXX;;;;;
1177 XX__;1215 XX__;4672 ____;3688 ____;1111 XXXX;;;;;
7654 X___;2211 ____;6388 X___;7533 ____;6666 ____;4484 XXXX;;;;
7171 ____;4466 ____;8285 XXX_;2325 XXO_;8225 XXOO;2285 XXXX;;;;
