6543 XXOO;2531 XX__;6534 XXXX;;;;;;;
4215 XX__;1635 XXOO;3615 XXXX;;;;;;;
4215 OOOO;2514 OOOO;1456 XXX_;1452 XXXX;;;;;;
3625 XXOO;4215 XX__;3265 XXXX;;;;;;;
2541 XX__;2163 XXOO;2361 XXXX;;;;;;;
1234 XX__;1645 XXOO;1654 XXXX;;;;;;;
1234 OOOO;1423 OOOO;5132 XXO_;3142 XXXX;;;;;;
4215 OOOO;4521 OOOO;1253 XOO_;2154 XXXX;;;;;;
3625 OOOO;6523 XXOO;6435 XXO_;6532 XXXX;;;;;;
2316 OOOO;3612 XXOO;1342 XXO_;1632 XXXX;;;;;;
1234 OOOO;4213 XXOO;4136 XXO_;4123 XXXX;;;;;;
6543 XOO_;2546 XXOO;5246 OOOO;2564 XXXX;;;;;;
6543 OOO_;5426 OOOO;2654 OOOO;4265 XXXX;;;;;;
4215 XOO_;2615 XXOO;2516 OOOO;1625 XXXX;;;;;;
4215 OOO_;3421 OOOO;2134 OOOO;1342 XXXX;;;;;;
3625 XOO_;3521 XXOO;3251 OOOO;1523 XXXX;;;;;;
3625 OOO_;2351 OOOO;5213 OOOO;1532 XXXX;;;;;;
2541 OOO_;1234 OOOO;4123 OOOO;3412 XXXX;;;;;;
2316 XOO_;5326 OOOO;2635 XXOO;2653 XXXX;;;;;;
1234 XOO_;6231 OOOO;1623 XXOO;1326 XXXX;;;;;;
1234 OOO_;5123 OOOO;3512 OOOO;2351 XXXX;;;;;;
6543 OOO_;2436 XXOO;2634 OOOO;3426 XXXX;;;;;;
4215 OOO_;5146 OOOO;1654 XXOO;1564 XXXX;;;;;;
4215 OOOO;4521 XXOO;5231 OOO_;1524 XXXX;;;;;;
3625 OOO_;2354 XXOO;2534 OOOO;4352 XXXX;;;;;;
3625 OOOO;5432 XXO_;5214 XX__;5236 XXXX;;;;;;
2316 OOO_;6235 OOOO;3652 XXOO;3562 XXXX;;;;;;
1234 OOO_;2351 OOOO;5123 XXOO;3125 XXXX;;;;;;
1234 OOOO;3241 XXOO;3425 OOO_;2341 XXXX;;;;;;
6543 XXX_;6341 XXOO;6143 XXXX;;;;;;;
4215 XXO_;2513 OOOO;1235 XXXX;;;;;;;
3625 XXO_;3156 OOOO;1635 XXXX;;;;;;;
3625 XXOO;6315 XXX_;6325 XXXX;;;;;;;
2541 XXO_;1526 OOOO;2651 XXXX;;;;;;;
1234 XXX_;1624 XXOO;1264 XXXX;;;;;;;
1234 XXO_;3524 OOOO;4235 XXXX;;;;;;;
1234 XXOO;4261 XXX_;4231 XXXX;;;;;;;
4215 XOO_;4312 XXOO;4321 XOOO;4132 OOOO;2314 XXXX;;;;;
3625 XOO_;3165 XXOO;3156 XOOO;3561 OOOO;6135 XXXX;;;;;
2316 XOO_;1356 XXOO;1365 XOOO;1536 OOOO;6351 XXXX;;;;;
1234 XOO_;3254 XXOO;4253 XOOO;3245 OOOO;2354 XXXX;;;;;
6543 OO__;3412 OOOO;1324 XXOO;4321 OOOO;1234 XXXX;;;;;
4215 OO__;6431 OOOO;1364 XXOO;1346 OOOO;3164 XXXX;;;;;
2541 OO__;4136 OOOO;1364 XXOO;6314 OOOO;1463 XXXX;;;;;
6543 XOO_;6342 XX__;5341 XXOO;1345 XXXX;;;;;;
4215 XOO_;6415 XOO_;1625 OOOO;6251 OOOO;2516 XXXX;;;;;
3625 XOO_;1635 XOO_;2651 OOOO;1526 OOOO;6215 XXXX;;;;;
